"atributo","nome","valor","protocolo","servico","tipo","campoRelacionado"
"cpf","Cpf","111.111.111-11","2021.3-78.790","Alvará de Construção - Semurh","ID","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"state","Estado","SP","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"nome","Nome","Livia","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"cpf","Cpf","111.111.111-11","2021.3-61.789","Poda/Corte de Árvore","ID","null"
"number","Número","123","2021.3-61.789","Poda/Corte de Árvore","STRING","null"
"nome","Nome","cris","2021.3-78.788","Alvará de Construção - Semurh","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.3-32.787","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-32.787","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.3-32.787","Poda / Corte de Árvore","STRING","null"
"nome","Nome","cris","2021.3-78.786","Alvará de Construção - Semurh","STRING","null"
"cpf","Cpf","111.111.111-11","2021.3-78.786","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.3-78.786","Alvará de Construção - Semurh","ID","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.3-null.785","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-null.785","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.3-null.785","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.3-32.781","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","222.222.222-22","2021.3-32.781","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.3-32.781","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Av. São João","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"neighborhood","Bairro","República","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"city","Cidade","São Paulo","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"state","Estado","SP","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"name","Nome","Maria ","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"lastname","Sobrenome","José","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"cpf","Cpf","111.111.111-11","2021.3-74.774","Solicitação de serviço genérico","ID","null"
"zipcode","CEP","01036-100","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"cPF","CPF","111.111.111-11","2021.3-74.774","Solicitação de serviço genérico","INTEGER","null"
"number","Número","22","2021.3-74.774","Solicitação de serviço genérico","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.3-32.773","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.3-32.773","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.3-32.773","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.772","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.772","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.772","Poda / Corte de Árvore","STRING","null"
"nome","Nome","cris","2021.2-78.771","Alvará de Construção - Semurh","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-78.771","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.2-78.771","Alvará de Construção - Semurh","ID","null"
"nome","Nome","cristhiane","2021.2-78.770","Alvará de Construção - Semurh","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-78.770","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.2-78.770","Alvará de Construção - Semurh","ID","null"
"street","Logradouro","Tv. João Luís","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"neighborhood","Bairro","Centro","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"city","Cidade","São Luís","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"state","Estado","MA","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"cnpj","Cnpj","11.111.111/1111-11","2021.2-34.769","ALPAR - Licenciamento Ambiental","ID","null"
"nomeFantasia","Nome Fantasia","EMPRESA-A","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"razaoSocial","Razão Social","EMPRESA-A","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"phone","Telefone","98 99999-9999","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"email","email","felipeaf77@gmail.com","2021.2-34.769","ALPAR - Licenciamento Ambiental","ID","null"
"zipcode","CEP","65020-340","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"number","Número","12","2021.2-34.769","ALPAR - Licenciamento Ambiental","STRING","null"
"street","Logradouro","Tv. João Luís","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"neighborhood","Bairro","Centro","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"city","Cidade","São Luís","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"state","Estado","MA","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"cnpj","Cnpj","11.111.111/1111-11","2021.2-34.768","ALPAR - Licenciamento Ambiental","ID","null"
"nomeFantasia","Nome Fantasia","EMPRESA-A","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"razaoSocial","Razão Social","EMPRESA-A","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"phone","Telefone","98 99999-9999","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"email","email","felipeaf77@gmail.com","2021.2-34.768","ALPAR - Licenciamento Ambiental","ID","null"
"zipcode","CEP","65020-340","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"number","Número","12","2021.2-34.768","ALPAR - Licenciamento Ambiental","STRING","null"
"street","Logradouro","Tv. João Luís","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"neighborhood","Bairro","Centro","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"city","Cidade","São Luís","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"state","Estado","MA","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"cnpj","Cnpj","11.111.111/1111-11","2021.2-34.767","ALPAR - Licenciamento Ambiental","ID","null"
"nomeFantasia","Nome Fantasia","EMPRESA-A","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"razaoSocial","Razão Social","EMPRESA-A","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"phone","Telefone","98 99999-9999","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"email","email","A@gmail.com","2021.2-34.767","ALPAR - Licenciamento Ambiental","ID","null"
"zipcode","CEP","65020-340","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"number","Número","12","2021.2-34.767","ALPAR - Licenciamento Ambiental","STRING","null"
"nome","Nome","cris","2021.2-78.766","Alvará de Construção - Semurh","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-78.766","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.2-78.766","Alvará de Construção - Semurh","ID","null"
"nome","Nome","teste","2021.2-78.765","Alvará de Construção - Semurh","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-78.765","Alvará de Construção - Semurh","ID","null"
"cnpj","Cnpj","33.333.333/3333-33","2021.2-78.765","Alvará de Construção - Semurh","ID","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.764","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.764","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.764","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Av. Prof. Carlos Cunha","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","Jaracaty","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Luís","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"state","Estado","MA","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"tipoDeTecnologia","Tipo de Tecnologia","Servidor","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"name","Nome","Felipe","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","Ggg","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","11111111111","2021.2-77.763","Aquisição Item Tecnologia","ID","null"
"phone","Telefone","9899 97265-56","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"email","email","felipeaf77@bol.com.br","2021.2-77.763","Aquisição Item Tecnologia","ID","null"
"zipcode","CEP","65076820","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"descricaoDoItem","Descrição do Item","Jddjdjdjdjd","2021.2-77.763","Aquisição Item Tecnologia","STRING","quantidade"
"quantidade","Quantidade","1","2021.2-77.763","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"number","Número","44","2021.2-77.763","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","Av. Prof. Carlos Cunha","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","Jaracaty","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Luís","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"state","Estado","MA","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"name","Nome","Tiago","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","Sl","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","11111111111","2021.2-77.762","Aquisição Item Tecnologia","ID","null"
"phone","Telefone","","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"email","email","felipeaf77@bol.com.br","2021.2-77.762","Aquisição Item Tecnologia","ID","null"
"quantidade","Quantidade","1","2021.2-77.762","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"valorTotalEstimadoEmReais","Valor total estimado em Reais","","2021.2-77.762","Aquisição Item Tecnologia","DOUBLE","null"
"number","Número","3","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"zipcode","CEP","65076820","2021.2-77.762","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","R. Aliança Liberal","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","Bela Aliança","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Paulo","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"state","Estado","SP","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"tipoDeTecnologia","Tipo de Tecnologia","Servidor","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"name","Nome","Fernando","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","Jobim","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"phone","Telefone","5511996066980","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"email","email","fernando.jobim@alparservice.com.br","2021.2-77.761","Aquisição Item Tecnologia","ID","null"
"zipcode","CEP","05088000","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","186.302.308-94","2021.2-77.761","Aquisição Item Tecnologia","ID","null"
"descricaoDoItem","Descrição do Item","Servidor HP Tipo Xpto","2021.2-77.761","Aquisição Item Tecnologia","STRING","quantidade"
"quantidade","Quantidade","1","2021.2-77.761","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"valorTotalEstimadoEmReais","Valor total estimado em Reais","100000","2021.2-77.761","Aquisição Item Tecnologia","DOUBLE","null"
"observacoes","Observações","Teste","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"number","Número","1407","2021.2-77.761","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.760","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.760","Poda / Corte de Árvore","ID","null"
"number","Número","1","2021.2-32.760","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Paulo","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"state","Estado","SP","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"tipoDeTecnologia","Tipo de Tecnologia","Notebook","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"name","Nome","Livia","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-77.759","Aquisição Item Tecnologia","ID","null"
"zipcode","CEP","01141-000","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-77.759","Aquisição Item Tecnologia","ID","null"
"quantidade","Quantidade","100","2021.2-77.759","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"number","Número","123","2021.2-77.759","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Paulo","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"state","Estado","SP","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"tipoDeTecnologia","Tipo de Tecnologia","Licença de Software","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"name","Nome","Livia","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-77.758","Aquisição Item Tecnologia","ID","null"
"zipcode","CEP","01141-000","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-77.758","Aquisição Item Tecnologia","ID","null"
"quantidade","Quantidade","100","2021.2-77.758","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"number","Número","123","2021.2-77.758","Aquisição Item Tecnologia","STRING","null"
"descricaoDoItem","Descrição do Item","PowerBI","2021.2-77.758","Aquisição Item Tecnologia","STRING","quantidade"
"valorTotalEstimadoEmReais","Valor total estimado em Reais","12000","2021.2-77.758","Aquisição Item Tecnologia","DOUBLE","null"
"street","Logradouro","Av. São João","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","República","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Paulo","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"state","Estado","SP","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"tipoDeTecnologia","Tipo de Tecnologia","Licença de Software","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"name","Nome","cristhiane","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","machado","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-77.757","Aquisição Item Tecnologia","ID","null"
"phone","Telefone","11 11111-1111","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"email","email","crismachado88@hotmail.com","2021.2-77.757","Aquisição Item Tecnologia","ID","null"
"descricaoDoItem","Descrição do Item","teste","2021.2-77.757","Aquisição Item Tecnologia","STRING","quantidade"
"quantidade","Quantidade","20","2021.2-77.757","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"valorTotalEstimadoEmReais","Valor total estimado em Reais","200000","2021.2-77.757","Aquisição Item Tecnologia","DOUBLE","null"
"zipcode","CEP","01036-100","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"number","Número","802","2021.2-77.757","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","R. Conselheiro Nébias","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","Santa Ifigênia","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Paulo","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"state","Estado","SP","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"tipoDeTecnologia","Tipo de Tecnologia","Notebook","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"name","Nome","ana","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","cara","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"phone","Telefone","1111111111111","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"email","email","crismachado88@hotmail.com","2021.2-77.756","Aquisição Item Tecnologia","ID","null"
"zipcode","CEP","01203-001","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-77.756","Aquisição Item Tecnologia","ID","null"
"descricaoDoItem","Descrição do Item","teste","2021.2-77.756","Aquisição Item Tecnologia","STRING","quantidade"
"quantidade","Quantidade","4","2021.2-77.756","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"valorTotalEstimadoEmReais","Valor total estimado em Reais","56000","2021.2-77.756","Aquisição Item Tecnologia","DOUBLE","null"
"number","Número","802","2021.2-77.756","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","Av. São João","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","República","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Paulo","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"state","Estado","SP","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"tipoDeTecnologia","Tipo de Tecnologia","Equipamento de Rede","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"name","Nome","cristhiane","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"lastname","Sobrenome","machado","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-77.755","Aquisição Item Tecnologia","ID","null"
"phone","Telefone","11 11111-1111","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"email","email","crismachado88@hotmail.com","2021.2-77.755","Aquisição Item Tecnologia","ID","null"
"descricaoDoItem","Descrição do Item","teste","2021.2-77.755","Aquisição Item Tecnologia","STRING","quantidade"
"quantidade","Quantidade","4","2021.2-77.755","Aquisição Item Tecnologia","INTEGER","descricaoDoItem"
"valorTotalEstimadoEmReais","Valor total estimado em Reais","40000","2021.2-77.755","Aquisição Item Tecnologia","DOUBLE","null"
"zipcode","CEP","01036-100","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"number","Número","25","2021.2-77.755","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-77.754","Aquisição Item Tecnologia","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-77.754","Aquisição Item Tecnologia","STRING","null"
"city","Cidade","São Paulo","2021.2-77.754","Aquisição Item Tecnologia","STRING","null"
"state","Estado","SP","2021.2-77.754","Aquisição Item Tecnologia","STRING","null"
